ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,source_cellstates,target_cellstates,lr_pair_examples
PDGFA,PDGFA,8,1.6261604316552,0.42297309492854474,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM,Cerebrovascular_Pericyte;Cerebrovascular_Venous,PDGFA - PDGFRA;PDGFA - PDGFRB
IL18,IL18,4,1.62212515210362,1.45686957753065,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;Cerebrovascular_Pericyte,IL18 - IL18BP;IL18 - IL1RL2
COL27A1,COL27A1,21,1.58763944897809,0.6366347919816158,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL27A1 - ITGA1/ITGB1;COL27A1 - ITGA10/ITGB1;COL27A1 - ITGA11/ITGB1;COL27A1 - ITGA2/ITGB1
SERPINA1,SERPINA1,2,1.58421717236742,0.9798013517336326,Microglia,Micro_DAM,Cerebrovascular_Pericyte;Cerebrovascular_Venous,SERPINA1 - LRP1
LAMA1,LAMA1,46,1.5277698558038404,0.5680859679961779,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LAMA1 - CD44;LAMA1 - DAG1;LAMA1 - ITGA1;LAMA1 - ITGA2/ITGB1;LAMA1 - ITGA3/ITGB1
C1QA,C1QA,5,1.52582553668192,0.9382770756120934,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,C1QA - CD93
WNT5A,WNT5A,46,1.5146031897920882,0.26789771385659455,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,WNT5A - ANTXR1;WNT5A - EPHA7;WNT5A - FZD1;WNT5A - FZD3;WNT5A - FZD4
NCAN,NCAN,17,1.4581156076051442,0.5085233861522351,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NCAN - CDH2;NCAN - SDC3
DKK3,DKK3,9,1.42855512543792,0.6494330593074376,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,DKK3 - KREMEN1
COL9A2,COL9A2,54,1.41879895890197,0.3075163429052443,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL9A2 - ITGA1/ITGB1;COL9A2 - ITGA10/ITGB1;COL9A2 - ITGA11/ITGB1;COL9A2 - ITGA2/ITGB1;COL9A2 - ITGA3/ITGB1
FGF2,FGF2,40,1.37157227760847,0.5771758849624715,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,FGF2 - CD44;FGF2 - FGFR1;FGF2 - FGFR2;FGF2 - FGFRL1;FGF2 - GPC4
SEMA3B,SEMA3B,34,1.34981320172728,0.46650869691841856,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SEMA3B - NRP1/PLXNA1;SEMA3B - NRP1/PLXNA2;SEMA3B - NRP1/PLXNA3;SEMA3B - NRP2/PLXNA1;SEMA3B - NRP2/PLXNA2
TNC,TNC,41,1.34132257027205,0.5321653386122377,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,TNC - CNTN1;TNC - EGFR;TNC - ITGA2;TNC - ITGA5;TNC - ITGA7
EFNA5,EFNA5,30,1.32909560485054,0.2523775237086278,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EFNA5 - EPHA2;EFNA5 - EPHA3;EFNA5 - EPHA4;EFNA5 - EPHA5;EFNA5 - EPHA7
PDGFC,PDGFC,23,1.30913336828501,0.455095854242488,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PDGFC - FLT1;PDGFC - FLT4;PDGFC - KDR;PDGFC - PDGFRA;PDGFC - PDGFRB
AIMP1,AIMP1,3,1.30273152617716,0.5688309333039523,Astrocyte;Microglia,Astro_Intermediate;Micro_DAM;Micro_Homeostatic,Cerebrovascular_Venous,AIMP1 - NTRK1
COL6A2,COL6A2,28,1.29768315573653,0.3338139310439502,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL6A2 - ITGA1/ITGB1;COL6A2 - ITGA10/ITGB1;COL6A2 - ITGA11/ITGB1;COL6A2 - ITGA2/ITGB1;COL6A2 - ITGA3/ITGB1
B2M,B2M,12,1.2969522254085268,0.5019023676024115,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,B2M - KLRD1;B2M - TFRC
ANGPT1,ANGPT1,34,1.281427706197701,0.5763695280182293,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ANGPT1 - ITGA5;ANGPT1 - ITGB1;ANGPT1 - TEK;ANGPT1 - TIE1
SPP1,SPP1,29,1.2684544987123498,0.3578308703764563,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SPP1 - CD44;SPP1 - ITGA4/ITGB1;SPP1 - ITGA5/ITGB1;SPP1 - ITGA8/ITGB1;SPP1 - ITGA9/ITGB1
GPI,GPI,11,1.2661828753612467,0.21428930208381058,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,GPI - AMFR;GPI - NTRK1
NRG3,NRG3,9,1.2532681910175698,0.5632663211579534,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NRG3 - EGFR;NRG3 - ERBB2/ERBB4
TIMP3,TIMP3,7,1.198318566254309,0.6308838446693151,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Venous,TIMP3 - KDR
