"celltype","gene","logFC","logCPM","F","PValue","FDR","n_cells","n_samples_AD","n_samples_CN","assay","direction","neglog10P"
"Excitatory","NPIPB2",-0.2839081187279,2.17696181029234,2.76288921675898,0.101098461747777,0.992957765619551,127723,33,33,"decontX","Not significant",0.995255452317354
"Excitatory","SLC7A14",0.152039874334781,6.67833071405003,2.76165105147655,0.101166164544059,0.992957765619551,127723,33,33,"decontX","Not significant",0.994964714856514
"Excitatory","ZNF331",0.178182725668355,5.78093618172156,2.76162792917298,0.10116760819769,0.992957765619551,127723,33,33,"decontX","Not significant",0.994958517464976
"Excitatory","ZKSCAN7",-0.110879264143048,2.00888732778386,2.76164279629285,0.101174684516764,0.992957765619551,127723,33,33,"decontX","Not significant",0.994928141152774
"Excitatory","LINC02301",-0.225818327369579,2.46128378127354,2.76153134299123,0.101179036045168,0.992957765619551,127723,33,33,"decontX","Not significant",0.994909462526371
"Excitatory","AC009061.2",-0.171500281316465,4.52544212146619,2.76048063207499,0.101237473901729,0.992957765619551,127723,33,33,"decontX","Not significant",0.994658699983823
"Excitatory","AEBP1",0.438742071307026,-1.73363009030575,2.74280857965705,0.101268710945264,0.992957765619551,127723,33,33,"decontX","Not significant",0.994524718142667
"Excitatory","STAG1",0.132987168210871,7.6226930416715,2.75986989551773,0.10127409853705,0.992957765619551,127723,33,33,"decontX","Not significant",0.994501613877548
"Excitatory","ZNF738",-0.163431832384089,2.49009693937967,2.75885932347886,0.101340944172881,0.992957765619551,127723,33,33,"decontX","Not significant",0.994215053793502
"Excitatory","AC098484.3",-0.14339998534636,1.52621774938836,2.75771750803561,0.101417409927155,0.992957765619551,127723,33,33,"decontX","Not significant",0.993887484980295
"Excitatory","CCDC84",-0.124956576966638,5.85874764638865,2.75749942542376,0.101418015654865,0.992957765619551,127723,33,33,"decontX","Not significant",0.993884891111881
"Excitatory","PM20D2",0.127169463940929,4.47852483504549,2.75745869879663,0.101420851999476,0.992957765619551,127723,33,33,"decontX","Not significant",0.993872745423753
"Excitatory","VEGFB",0.203860955578096,2.46557644044444,2.7554206116291,0.101550514362223,0.992957765619551,127723,33,33,"decontX","Not significant",0.993317872514129
"Excitatory","ATP2C2-AS1",-0.152053890663071,1.582775474798,2.75387758341741,0.101646904044302,0.992957765619551,127723,33,33,"decontX","Not significant",0.992905844541454
"Excitatory","AL356580.1",-0.290575440870011,1.40370785437067,2.7521404900527,0.101754928565361,0.992957765619551,127723,33,33,"decontX","Not significant",0.992444546260952
"Excitatory","VASH2",0.172497714356,2.68212572681923,2.75157673906467,0.101782924192267,0.992957765619551,127723,33,33,"decontX","Not significant",0.992325076135915
"Excitatory","AP001269.4",-0.284527175826525,-0.161319613647407,2.74994779082848,0.101840711734892,0.992957765619551,127723,33,33,"decontX","Not significant",0.992078574186921
"Excitatory","CHST8",0.304267428394282,3.50459889000942,2.74957676174344,0.101902052980182,0.992957765619551,127723,33,33,"decontX","Not significant",0.991817066347027
"Excitatory","AL160396.1",0.528079473807839,-0.345182545669381,2.74699023795964,0.101934419592113,0.992957765619551,127723,33,33,"decontX","Not significant",0.991679145582405
"Excitatory","CASC6",-0.346835158633654,-1.26359435664814,2.73838730966795,0.101967535287477,0.992957765619551,127723,33,33,"decontX","Not significant",0.991538078137553
