ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Description_clean
GO_Biological_Process_2023::Artery Morphogenesis (GO:0048844),GO_Biological_Process_2023::Artery Morphogenesis (GO:0048844),2/49,10/1677,0.2,6.844897959183674,3.2152665368080102,0.03241081881075668,0.31546530309136495,0.29188690624891983,PDGFRB/TBX2,2,Artery Morphogenesis
GO_Biological_Process_2023::Cardiac Muscle Cell Action Potential Involved In Contraction (GO:0086002),GO_Biological_Process_2023::Cardiac Muscle Cell Action Potential Involved In Contraction (GO:0086002),2/49,10/1677,0.2,6.844897959183674,3.2152665368080102,0.03241081881075668,0.31546530309136495,0.29188690624891983,GJC1/CACNA1C,2,Cardiac Muscle Cell Action Potential Involved in Contraction
GO_Biological_Process_2023::Peptide Metabolic Process (GO:0006518),GO_Biological_Process_2023::Peptide Metabolic Process (GO:0006518),2/49,10/1677,0.2,6.844897959183674,3.2152665368080102,0.03241081881075668,0.31546530309136495,0.29188690624891983,CPM/DMD,2,Peptide Metabolic Process
GO_Biological_Process_2023::Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200),GO_Biological_Process_2023::Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200),2/49,10/1677,0.2,6.844897959183674,3.2152665368080102,0.03241081881075668,0.31546530309136495,0.29188690624891983,PTH1R/PLCE1,2,Phospholipase c-Activating g Protein-Coupled Receptor Signaling Pathway
GO_Biological_Process_2023::Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058),GO_Biological_Process_2023::Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058),2/49,10/1677,0.2,6.844897959183674,3.2152665368080102,0.03241081881075668,0.31546530309136495,0.29188690624891983,RHBDF2/GPER1,2,Regulation of Epidermal Growth Factor Receptor Signaling Pathway
GO_Biological_Process_2023::Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023::Striated Muscle Contraction (GO:0006941),2/49,10/1677,0.2,6.844897959183674,3.2152665368080102,0.03241081881075668,0.31546530309136495,0.29188690624891983,ATP1A2/DMD,2,Striated Muscle Contraction
GO_Biological_Process_2023::Phosphatidylinositol-Mediated Signaling (GO:0048015),GO_Biological_Process_2023::Phosphatidylinositol-Mediated Signaling (GO:0048015),2/49,11/1677,0.18181818181818182,6.222634508348794,3.014090755291527,0.03888397582702655,0.3702430741790789,0.3425704964165955,PDGFRB/PLCE1,2,Phosphatidylinositol-Mediated Signaling
GO_Biological_Process_2023::Cell Junction Assembly (GO:0034329),GO_Biological_Process_2023::Cell Junction Assembly (GO:0034329),3/49,27/1677,0.1111111111111111,3.8027210884353737,2.5464059367729535,0.041908260422009215,0.3746085319355109,0.34660967266323417,GJC1/CDH6/GJA4,3,Cell Junction Assembly
GO_Biological_Process_2023::Modulation Of Chemical Synaptic Transmission (GO:0050804),GO_Biological_Process_2023::Modulation Of Chemical Synaptic Transmission (GO:0050804),3/49,27/1677,0.1111111111111111,3.8027210884353737,2.5464059367729535,0.041908260422009215,0.3746085319355109,0.34660967266323417,GRM8/GRM3/ATP1A2,3,Modulation of Chemical Synaptic Transmission
GO_Biological_Process_2023::Potassium Ion Transmembrane Transport (GO:0071805),GO_Biological_Process_2023::Potassium Ion Transmembrane Transport (GO:0071805),3/49,27/1677,0.1111111111111111,3.8027210884353737,2.5464059367729535,0.041908260422009215,0.3746085319355109,0.34660967266323417,ABCC9/SLC12A7/ATP1A2,3,Potassium Ion Transmembrane Transport
GO_Biological_Process_2023::Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427),GO_Biological_Process_2023::Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427),2/49,12/1677,0.16666666666666666,5.704081632653061,2.8363916662724704,0.04580357086320601,0.3801015330799839,0.35169211784617593,TRPC3/GPER1,2,Positive Regulation of Calcium Ion Transmembrane Transport
GO_Biological_Process_2023::Regulation Of Cytosolic Calcium Ion Concentration (GO:0051480),GO_Biological_Process_2023::Regulation Of Cytosolic Calcium Ion Concentration (GO:0051480),2/49,12/1677,0.16666666666666666,5.704081632653061,2.8363916662724704,0.04580357086320601,0.3801015330799839,0.35169211784617593,TRPC3/GPER1,2,Regulation of Cytosolic Calcium Ion Concentration
