"orig.ident","Group","celltype","cells","prop"
"D2_NC5","CN","Inhibitory",171,0.145408163265306
"D2_NC5","CN","Microglia",81,0.0688775510204082
"D2_NC5","CN","Oligodendrocytes",94,0.0799319727891157
"D2_NC5","CN","OPCs",76,0.0646258503401361
"D2_NC6","CN","Astrocytes",48,0.0402010050251256
"D2_NC6","CN","Cerebrovascular cells",43,0.0360134003350084
"D2_NC6","CN","Excitatory",294,0.246231155778894
"D2_NC6","CN","Inhibitory",99,0.0829145728643216
"D2_NC6","CN","Microglia",21,0.0175879396984925
"D2_NC6","CN","Oligodendrocytes",621,0.520100502512563
"D2_NC6","CN","OPCs",68,0.0569514237855946
"D2_AD2","AD","Astrocytes",53,0.0682989690721649
"D2_AD2","AD","Cerebrovascular cells",40,0.0515463917525773
"D2_AD2","AD","Excitatory",302,0.389175257731959
"D2_AD2","AD","Inhibitory",92,0.118556701030928
"D2_AD2","AD","Microglia",49,0.0631443298969072
"D2_AD2","AD","Oligodendrocytes",187,0.240979381443299
"D2_AD2","AD","OPCs",53,0.0682989690721649
"D2_AD3","AD","Astrocytes",91,0.0813226094727435
"D2_AD3","AD","Cerebrovascular cells",87,0.0777479892761394
"D2_AD3","AD","Excitatory",248,0.221626452189455
"D2_AD3","AD","Inhibitory",198,0.176943699731903
"D2_AD3","AD","Microglia",130,0.116175156389634
"D2_AD3","AD","Oligodendrocytes",315,0.281501340482574
"D2_AD3","AD","OPCs",50,0.0446827524575514
"D2_AD4","AD","Astrocytes",24,0.0486815415821501
"D2_AD4","AD","Cerebrovascular cells",43,0.0872210953346856
"D2_AD4","AD","Excitatory",121,0.245436105476673
"D2_AD4","AD","Inhibitory",85,0.172413793103448
"D2_AD4","AD","Microglia",42,0.0851926977687627
"D2_AD4","AD","Oligodendrocytes",121,0.245436105476673
"D2_AD4","AD","OPCs",57,0.115618661257606
"D2_AD5","AD","Astrocytes",15,0.0234009360374415
"D2_AD5","AD","Cerebrovascular cells",44,0.0686427457098284
"D2_AD5","AD","Excitatory",144,0.224648985959438
"D2_AD5","AD","Inhibitory",113,0.176287051482059
"D2_AD5","AD","Microglia",51,0.0795631825273011
"D2_AD5","AD","Oligodendrocytes",233,0.363494539781591
"D2_AD5","AD","OPCs",41,0.0639625585023401
