receiver_context,ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,target_families,source_cellstates,target_cellstates,receptor_examples,lr_pair_examples,receptor_supported_by_nichenet
Cerebrovascular cells,NRG3,NRG3,9,1.2532681910175698,0.5632663211579534,Astrocyte,Vascular,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EGFR;ERBB2_ERBB4,NRG3 - EGFR;NRG3 - ERBB2/ERBB4,TRUE
Cerebrovascular cells,PRSS3,PRSS3,11,1.22443471477637,0.6230212869366842,Vascular,Vascular,CapEC_ActMid;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,F2R;PARD3,PRSS3 - F2R;PRSS3 - PARD3,TRUE
Cerebrovascular cells,HLA-B,HLA-B,35,1.22160801245398,0.3760529568212207,Microglia;Vascular,Vascular,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CANX;KLRD1,HLA-B - CANX;HLA-B - KLRD1,TRUE
Cerebrovascular cells,THBS1,THBS1,41,1.20723982871998,0.3484300068707913,Vascular,Vascular,Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD47;ITGA3_ITGB1;ITGA6;LRP1;LRP5,THBS1 - CD47;THBS1 - ITGA3/ITGB1;THBS1 - ITGA6;THBS1 - LRP1;THBS1 - LRP5,TRUE
Cerebrovascular cells,TGM2,TGM2,47,1.20670781865234,0.38041934529587995,Vascular,Vascular,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADGRG1;ITGA4;ITGA9;ITGB1;SDC4,TGM2 - ADGRG1;TGM2 - ITGA4;TGM2 - ITGA9;TGM2 - ITGB1;TGM2 - SDC4,TRUE
Cerebrovascular cells,CLEC11A,CLEC11A,29,1.2055192897951,0.33216335229547544,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGA10;ITGA11;ITGB1,CLEC11A - ITGA10;CLEC11A - ITGA11;CLEC11A - ITGB1,TRUE
Cerebrovascular cells,F10,F10,4,1.20130146111735,0.6099318496153342,Vascular,Vascular,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Cerebrovascular_Pericyte;Cerebrovascular_Venous,F3,F10 - F3,TRUE
Cerebrovascular cells,CALCB,CALCB,20,1.19809254171035,0.33119535567789815,Astrocyte,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CALCRL;PTH1R;RAMP2;RAMP3,CALCB - CALCRL;CALCB - PTH1R;CALCB - RAMP2;CALCB - RAMP3,TRUE
Cerebrovascular cells,VEGFA,VEGFA,91,1.174295557027348,0.5664572891084694,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;EGFR;FLT1_KDR;ITGA9;ITGAV,VEGFA - CD44;VEGFA - EGFR;VEGFA - FLT1/KDR;VEGFA - ITGA9;VEGFA - ITGAV,TRUE
Cerebrovascular cells,MFGE8,MFGE8,27,1.17171888891271,0.32086706533203985,Astrocyte;Vascular,Vascular,Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGAV;ITGB5;PDGFRB,MFGE8 - ITGAV;MFGE8 - ITGB5;MFGE8 - PDGFRB,TRUE
