source,target,mean_strength_AD,n_lr_AD,mean_strength_CN,n_lr_CN,delta_AD_vs_CN,source_n_AD,source_n_CN,target_n_AD,target_n_CN,min_group_cell_count,source_family,target_family
CapEC_ActMid,OPCs,0.475934369370504,432.0,0.595081171044674,458,-0.11914680167416997,154,112,9583,11259,112,Vascular,Oligo/OPC
CapEC_ActMid,Oligodendrocytes,0.371230946445258,292.0,0.455827535389129,302,-0.08459658894387101,154,112,80232,64998,112,Vascular,Oligo/OPC
Cerebrovascular_Pericyte,Astro_Homeostatic,0.783733814401454,749.0,0.649593990493977,760,0.13413982390747692,516,449,7441,10219,449,Vascular,Astrocyte
Cerebrovascular_Pericyte,Astro_Intermediate,0.81568977985011,737.0,0.709385214992126,742,0.10630456485798401,516,449,5602,5852,449,Vascular,Astrocyte
Cerebrovascular_Pericyte,Astro_Reactive,0.821160527415454,786.0,0.745067253911524,781,0.07609327350393003,516,449,1387,1200,449,Vascular,Astrocyte
Cerebrovascular_Pericyte,CapEC_ActHigh,1.09079453209773,609.0,0.986431884235096,615,0.10436264786263394,516,449,134,124,124,Vascular,Vascular
Cerebrovascular_Pericyte,CapEC_ActLow,0.939127588340246,539.0,0.772390100891256,514,0.16673748744898997,516,449,129,129,129,Vascular,Vascular
Cerebrovascular_Pericyte,CapEC_ActMid,1.06599256993236,573.0,0.851016666194849,577,0.21497590373751108,516,449,154,112,112,Vascular,Vascular
Cerebrovascular_Pericyte,Cerebrovascular_Pericyte,0.843435143909616,974.0,0.679705271341401,915,0.16372987256821503,516,449,516,449,449,Vascular,Vascular
Cerebrovascular_Pericyte,Cerebrovascular_Venous,0.680549440940118,772.0,0.508468422145747,793,0.1720810187943711,516,449,328,317,317,Vascular,Vascular
Cerebrovascular_Pericyte,Excitatory,0.476995132138528,727.0,0.399008803417363,729,0.07798632872116501,516,449,62331,65392,449,Vascular,Neuron
Cerebrovascular_Pericyte,Inhibitory,0.473769874433634,692.0,0.384779016227058,694,0.08899085820657598,516,449,18727,18751,449,Vascular,Neuron
Cerebrovascular_Pericyte,Micro_DAM,0.752833822655048,495.0,0.552282866283239,485,0.20055095637180897,516,449,10413,8260,449,Vascular,Microglia
Cerebrovascular_Pericyte,Micro_Homeostatic,0.70026132221427,498.0,0.586505279450201,478,0.11375604276406892,516,449,2452,2998,449,Vascular,Microglia
Cerebrovascular_Pericyte,OPCs,0.72453388159773,585.0,0.588093827055876,594,0.13644005454185404,516,449,9583,11259,449,Vascular,Oligo/OPC
Cerebrovascular_Pericyte,Oligodendrocytes,0.59789802431512,400.0,0.483077424704692,409,0.11482059961042795,516,449,80232,64998,449,Vascular,Oligo/OPC
Cerebrovascular_Venous,Astro_Homeostatic,0.73599177572279,735.0,0.649570270924161,728,0.08642150479862898,328,317,7441,10219,317,Vascular,Astrocyte
Cerebrovascular_Venous,Astro_Intermediate,0.762355661029183,723.0,0.720381211784472,712,0.04197444924471094,328,317,5602,5852,317,Vascular,Astrocyte
Cerebrovascular_Venous,Astro_Reactive,0.787484750248343,774.0,0.741405628941075,757,0.04607912130726799,328,317,1387,1200,317,Vascular,Astrocyte
Cerebrovascular_Venous,CapEC_ActHigh,1.10289821889204,580.0,1.05243632849239,584,0.05046189039964988,328,317,134,124,124,Vascular,Vascular
Cerebrovascular_Venous,CapEC_ActLow,0.925451720579564,514.0,0.805863708762156,485,0.11958801181740808,328,317,129,129,129,Vascular,Vascular
Cerebrovascular_Venous,CapEC_ActMid,1.0620351488208,547.0,0.909915674292287,540,0.15211947452851293,328,317,154,112,112,Vascular,Vascular
Cerebrovascular_Venous,Cerebrovascular_Pericyte,0.822553593093647,944.0,0.716391767961503,880,0.106161825132144,328,317,516,449,317,Vascular,Vascular
Cerebrovascular_Venous,Cerebrovascular_Venous,0.639375122625321,764.0,0.508883662615626,767,0.13049146000969503,328,317,328,317,317,Vascular,Vascular
Cerebrovascular_Venous,Excitatory,0.451717696918516,719.0,0.40309872128511,709,0.048618975633406,328,317,62331,65392,317,Vascular,Neuron
Cerebrovascular_Venous,Inhibitory,0.467819612742139,687.0,0.396762641648867,673,0.07105697109327203,328,317,18727,18751,317,Vascular,Neuron
Cerebrovascular_Venous,Micro_DAM,0.613677137131174,461.0,0.481565586826481,445,0.13211155030469302,328,317,10413,8260,317,Vascular,Microglia
Cerebrovascular_Venous,Micro_Homeostatic,0.579842983607828,462.0,0.524844714323331,434,0.054998269284497026,328,317,2452,2998,317,Vascular,Microglia
Cerebrovascular_Venous,OPCs,0.651744075026018,566.0,0.581804564606697,560,0.069939510419321,328,317,9583,11259,317,Vascular,Oligo/OPC
