test_ligand,auroc,aupr,aupr_corrected,pearson,receiver_context,ligand_clean,n_receiver_genes,n_background_genes,n_potential_ligands,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,target_families,source_cellstates,target_cellstates,receptor_examples,lr_pair_examples,receptor_supported_by_nichenet,activity_rank_within_receiver
THBS2,0.5523264286457774,0.03240647871352945,0.007892052916810614,0.035024003971064005,Cerebrovascular cells,THBS2,130,5303,282,THBS2,8,0.686584040961449,0.43669834232381133,Vascular,Vascular,Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD47;ITGA3_ITGB1;ITGA6;NOTCH4,THBS2 - CD47;THBS2 - ITGA3/ITGB1;THBS2 - ITGA6;THBS2 - NOTCH4,TRUE,138
LAMA4,0.5519234486758146,0.03128187907093115,0.006767453274212309,0.035022069416449704,Cerebrovascular cells,LAMA4,130,5303,282,LAMA4,70,1.58990808927931,0.3177008319875565,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;DAG1;ITGA2_ITGB1;ITGA3_ITGB1;ITGA6_ITGB1,LAMA4 - CD44;LAMA4 - DAG1;LAMA4 - ITGA2/ITGB1;LAMA4 - ITGA3/ITGB1;LAMA4 - ITGA6/ITGB1,TRUE,139
LAMB1,0.5516691698017797,0.03237744812080902,0.007863022324090179,0.03501362434509363,Cerebrovascular cells,LAMB1,130,5303,282,LAMB1,38,1.84947190494626,0.33857932343917635,Vascular,Vascular,Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;DAG1;ITGA1;ITGA2_ITGB1;ITGA3_ITGB1,LAMB1 - CD44;LAMB1 - DAG1;LAMB1 - ITGA1;LAMB1 - ITGA2/ITGB1;LAMB1 - ITGA3/ITGB1,TRUE,140
BMP1,0.5599339767134045,0.030924685256731112,0.006410259460012273,0.034854025446779534,Cerebrovascular cells,BMP1,130,5303,282,BMP1,26,2.02005198372374,0.5403882898821192,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,BMPR1A;BMPR2,BMP1 - BMPR1A;BMP1 - BMPR2,TRUE,141
VCAN,0.5532052521227059,0.03191998216701463,0.007405556370295791,0.034780547637517936,Cerebrovascular cells,VCAN,130,5303,282,VCAN,22,0.620165005705066,0.23626553223340202,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;EGFR;ITGB1,VCAN - CD44;VCAN - EGFR;VCAN - ITGB1,TRUE,142
LAMC1,0.5459070023346055,0.03234962905889407,0.007835203262175228,0.03475557680803246,Cerebrovascular cells,LAMC1,130,5303,282,LAMC1,89,1.45888279457037,0.27093322140096077,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;DAG1;ITGA1;ITGA2_ITGB1;ITGA3_ITGB1,LAMC1 - CD44;LAMC1 - DAG1;LAMC1 - ITGA1;LAMC1 - ITGA2/ITGB1;LAMC1 - ITGA3/ITGB1,TRUE,143
GSTP1,0.5498460943657141,0.031751103631040084,0.007236677834321244,0.034753203141763785,Cerebrovascular cells,GSTP1,130,5303,282,GSTP1,31,0.95991706643035,0.2926579375681204,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EGFR;TRAF2,GSTP1 - EGFR;GSTP1 - TRAF2,TRUE,144
IGSF11,0.5593153801543506,0.030858677119347862,0.006344251322629023,0.03462768096117683,Cerebrovascular cells,IGSF11,130,5303,282,IGSF11,3,0.66506963517477,0.43990717191456674,Astrocyte,Vascular,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,VSIR,IGSF11 - VSIR,TRUE,145
F13A1,0.5547398474326757,0.030756709917396614,0.006242284120677774,0.03442470875760885,Cerebrovascular cells,F13A1,130,5303,282,F13A1,6,0.3928647282000099,0.2556888874944717,Microglia;Vascular,Vascular,Cerebrovascular_Venous;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGB1,F13A1 - ITGB1,TRUE,146
C3,0.5540201341283882,0.032729019906955016,0.0082145941102361765,0.03425227584580133,Cerebrovascular cells,C3,130,5303,282,C3,26,0.837156617672926,0.2689899529147105,Astrocyte;Microglia,Vascular,Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD46;CD81;GRM7;LRP1;NRP1,C3 - CD46;C3 - CD81;C3 - GRM7;C3 - LRP1;C3 - NRP1,TRUE,147
LIN7C,0.5485925441270487,0.03157293173109766,0.0070585059343788205,0.03421236999408612,Cerebrovascular cells,LIN7C,130,5303,282,LIN7C,19,1.08653865053267,0.3238320553076954,Vascular,Vascular,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ABCA1,LIN7C - ABCA1,TRUE,148
PROS1,0.5664322146054205,0.0337697676316003,0.00925534183488146,0.0341373381069787,Cerebrovascular cells,PROS1,130,5303,282,PROS1,27,0.62379616140333,0.2412157154394481,Astrocyte;Microglia;Vascular,Vascular,Astro_Reactive;CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,AXL;MERTK,PROS1 - AXL;PROS1 - MERTK,TRUE,149
EDN1,0.5455560677482189,0.03383780914790601,0.00932338335118717,0.03396411359867124,Cerebrovascular cells,EDN1,130,5303,282,EDN1,12,1.1002314525400398,0.3946284630253603,Vascular,Vascular,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADGRL4;EDNRA;EDNRB,EDN1 - ADGRL4;EDN1 - EDNRA;EDN1 - EDNRB,TRUE,150
ANXA1,0.5563755594878712,0.03335091385053992,0.00883648805382108,0.03381289731418604,Cerebrovascular cells,ANXA1,130,5303,282,ANXA1,29,0.8816768412935501,0.4453172442786449,Astrocyte;Vascular,Vascular,Astro_Reactive;CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,DYSF;EGFR,ANXA1 - DYSF;ANXA1 - EGFR,TRUE,151
COL3A1,0.5448913738494249,0.03205694014999138,0.00754251435327254,0.03373348983225592,Cerebrovascular cells,COL3A1,130,5303,282,COL3A1,39,0.97470943553948,0.4733230713247122,Vascular,Vascular,Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,DDR1;DDR2;ITGA1_ITGB1;ITGA10_ITGB1;ITGA11_ITGB1,COL3A1 - DDR1;COL3A1 - DDR2;COL3A1 - ITGA1/ITGB1;COL3A1 - ITGA10/ITGB1;COL3A1 - ITGA11/ITGB1,TRUE,152
BMP5,0.5599443857901227,0.030499577433783228,0.005985151637064388,0.03365985603982694,Cerebrovascular cells,BMP5,130,5303,282,BMP5,17,0.597425838229382,0.3193995856425771,Vascular,Vascular,Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ACVR1_ACVR2A;ACVR1_ACVR2B;ACVR1_BMPR2;ACVR2A_BMPR1B;ACVR2B_BMPR1B,BMP5 - ACVR1/ACVR2A;BMP5 - ACVR1/ACVR2B;BMP5 - ACVR1/BMPR2;BMP5 - ACVR2A/BMPR1B;BMP5 - ACVR2B/BMPR1B,TRUE,153
SEMA3F,0.5469241178307492,0.03257443072640878,0.008060004929689942,0.03362908622573581,Cerebrovascular cells,SEMA3F,130,5303,282,SEMA3F,32,1.36120510713844,0.3688914050530561,Vascular,Vascular,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NRP1;NRP2_PLXNA1;NRP2_PLXNA2;NRP2_PLXNA3,SEMA3F - NRP1;SEMA3F - NRP2/PLXNA1;SEMA3F - NRP2/PLXNA2;SEMA3F - NRP2/PLXNA3,TRUE,154
TGFB3,0.5582729854719043,0.03217290607001055,0.0076584802732917075,0.033437494778796685,Cerebrovascular cells,TGFB3,130,5303,282,TGFB3,73,0.850164355269871,0.3760253432571205,Astrocyte;Vascular,Vascular,Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ACVR1_TGFBR1_TGFBR2;ACVR1_TGFBR2;ACVR1B_TGFBR2;ACVR1C_TGFBR2;ACVRL1,TGFB3 - ACVR1/TGFBR1/TGFBR2;TGFB3 - ACVR1/TGFBR2;TGFB3 - ACVR1B/TGFBR2;TGFB3 - ACVR1C/TGFBR2;TGFB3 - ACVRL1,TRUE,155
SLIT2,0.5601064699846814,0.0340552669229939,0.009540841126275058,0.03328222887447535,Cerebrovascular cells,SLIT2,130,5303,282,SLIT2,3,0.5281896803173269,0.4050789063657673,Vascular,Vascular,Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow,ROBO4,SLIT2 - ROBO4,TRUE,156
DCN,0.5596692887626565,0.03426014934454879,0.00974572354782995,0.033122825565882745,Cerebrovascular cells,DCN,130,5303,282,DCN,23,0.41551377404117007,0.13755235825008155,Vascular,Vascular,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EGFR;ERBB4,DCN - EGFR;DCN - ERBB4,TRUE,157
COL18A1,0.562189772338621,0.03391837183029558,0.009403946033576738,0.033101935932235656,Cerebrovascular cells,COL18A1,130,5303,282,COL18A1,113,1.681867551738096,0.3737520324373511,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,GPC1;GPC4;ITGA1_ITGB1;ITGA10_ITGB1;ITGA11_ITGB1,COL18A1 - GPC1;COL18A1 - GPC4;COL18A1 - ITGA1/ITGB1;COL18A1 - ITGA10/ITGB1;COL18A1 - ITGA11/ITGB1,TRUE,158
HSPG2,0.5599503338339592,0.033684476426782836,0.009170050630063997,0.03285193021393751,Cerebrovascular cells,HSPG2,130,5303,282,HSPG2,29,0.67581289676703,0.21188170869124393,Vascular,Vascular,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,DAG1;FGFR1;ITGA2;ITGB1;LRP1,HSPG2 - DAG1;HSPG2 - FGFR1;HSPG2 - ITGA2;HSPG2 - ITGB1;HSPG2 - LRP1,TRUE,159
HSP90B1,0.5384659994944144,0.03209636238894234,0.0075819365922235,0.03285105392676134,Cerebrovascular cells,HSP90B1,130,5303,282,HSP90B1,7,0.9612524364243398,0.31108906767946687,Microglia;Vascular,Vascular,CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,Cerebrovascular_Pericyte;Cerebrovascular_Venous,ERBB2;LRP1,HSP90B1 - ERBB2;HSP90B1 - LRP1,TRUE,160
ALCAM,0.5490267513271568,0.031443762643045096,0.006929336846326257,0.03282437572445612,Cerebrovascular cells,ALCAM,130,5303,282,ALCAM,6,0.9044255112958696,0.4985602167763875,Microglia,Vascular,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid,NRP1,ALCAM - NRP1,TRUE,161
SPON1,0.554143556038008,0.0355409565758055,0.01102653077908666,0.03274875678639753,Cerebrovascular cells,SPON1,130,5303,282,SPON1,25,1.6926432282078796,0.5278493459911533,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,APP;LRP8,SPON1 - APP;SPON1 - LRP8,TRUE,162
AGRN,0.558958497524125,0.0335293670129,0.009014941216181158,0.032431670445578216,Cerebrovascular cells,AGRN,130,5303,282,AGRN,37,0.91470256823563,0.3125821423242981,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,DAG1;ITGB1;LRP1;LRP4,AGRN - DAG1;AGRN - ITGB1;AGRN - LRP1;AGRN - LRP4,TRUE,163
LGALS3BP,0.5535948489940371,0.031696711973629416,0.007182286176910576,0.03242495291496556,Cerebrovascular cells,LGALS3BP,130,5303,282,LGALS3BP,24,1.02103873908157,0.45817919428542797,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGB1,LGALS3BP - ITGB1,TRUE,164
NUCB2,0.5630329075525276,0.030276479206375717,0.0057620534096568775,0.03238798793604825,Cerebrovascular cells,NUCB2,130,5303,282,NUCB2,2,0.0192968596644284,0.013830645422164101,Vascular,Vascular,CapEC_ActHigh,CapEC_ActMid;Cerebrovascular_Venous,ERAP1,NUCB2 - ERAP1,TRUE,165
NRG2,0.5603607488587175,0.033406978111431215,0.008892552314712376,0.03236694686212954,Cerebrovascular cells,NRG2,130,5303,282,NRG2,18,1.0626706194131,0.39594878395230065,Astrocyte;Vascular,Vascular,Astro_Intermediate;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NRP2,NRG2 - NRP2,TRUE,166
NID1,0.5454118276851702,0.031389205211077895,0.006874779414359055,0.032336676909383556,Cerebrovascular cells,NID1,130,5303,282,NID1,24,0.89601670409884,0.2166526376866247,Vascular,Vascular,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGA3;ITGAV;ITGB1;PTPRF,NID1 - ITGA3;NID1 - ITGAV;NID1 - ITGB1;NID1 - PTPRF,TRUE,167
LGI2,0.5467813647786571,0.03148426024049391,0.00696983444377507,0.03233646879092453,Cerebrovascular cells,LGI2,130,5303,282,LGI2,1,0.0161103494866344,0.0161103494866344,Vascular,Vascular,CapEC_ActHigh,Cerebrovascular_Venous,ADAM22,LGI2 - ADAM22,FALSE,168
PLTP,0.5421225594432626,0.030864489765979313,0.0063500639692604735,0.03225362356917714,Cerebrovascular cells,PLTP,130,5303,282,PLTP,24,0.647832581656658,0.2767761606116895,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ABCA1,PLTP - ABCA1,TRUE,169
EFEMP2,0.550614879031656,0.030261762231862215,0.005747336435143375,0.032218805237341976,Cerebrovascular cells,EFEMP2,130,5303,282,EFEMP2,25,0.9058594720076898,0.4862984913032232,Astrocyte;Vascular,Vascular,Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PLSCR4,EFEMP2 - PLSCR4,TRUE,170
ADAM9,0.55417775729007,0.03172570146604202,0.00721127566932318,0.03211283895541657,Cerebrovascular cells,ADAM9,130,5303,282,ADAM9,81,0.973747786562835,0.27891801018221596,Astrocyte;Microglia;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGA3;ITGA6;ITGAV;ITGB1;ITGB5,ADAM9 - ITGA3;ADAM9 - ITGA6;ADAM9 - ITGAV;ADAM9 - ITGB1;ADAM9 - ITGB5,TRUE,171
EFNA5,0.5646373923775796,0.03296307277157133,0.008448646974852491,0.03206505104990094,Cerebrovascular cells,EFNA5,130,5303,282,EFNA5,35,1.32909560485054,0.2345438714687855,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EPHA2;EPHA3;EPHA4;EPHA5;EPHA7,EFNA5 - EPHA2;EFNA5 - EPHA3;EFNA5 - EPHA4;EFNA5 - EPHA5;EFNA5 - EPHA7,TRUE,172
SEMA3A,0.5571369090990181,0.03239980498988043,0.007885379193161592,0.03204357105909128,Cerebrovascular cells,SEMA3A,130,5303,282,SEMA3A,20,1.15959610009948,0.3828515643876939,Astrocyte,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NRP1_PLXNA1;NRP1_PLXNA2;NRP1_PLXNA3;NRP2,SEMA3A - NRP1/PLXNA1;SEMA3A - NRP1/PLXNA2;SEMA3A - NRP1/PLXNA3;SEMA3A - NRP2,TRUE,173
LRP1B,0.5468765334800526,0.03293442264063984,0.008419996843920998,0.03187901575439223,Cerebrovascular cells,LRP1B,130,5303,282,LRP1B,4,1.65239811589463,0.7595638112584676,Astrocyte,Vascular,Astro_Intermediate,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PLAUR,LRP1B - PLAUR,TRUE,174
SLIT3,0.5542327766955635,0.03182533191840613,0.007310906121687288,0.031854574627743375,Cerebrovascular cells,SLIT3,130,5303,282,SLIT3,4,1.054252364776182,0.6951898181226904,Vascular,Vascular,Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,ROBO4,SLIT3 - ROBO4,TRUE,175
COL8A2,0.562374161697569,0.032731751931165606,0.008217326134446767,0.03146333534946835,Cerebrovascular cells,COL8A2,130,5303,282,COL8A2,18,1.82868199618166,0.9880019145048051,Microglia,Vascular,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGA1_ITGB1;ITGA10_ITGB1;ITGA11_ITGB1;ITGA2_ITGB1;SLC4A11,COL8A2 - ITGA1/ITGB1;COL8A2 - ITGA10/ITGB1;COL8A2 - ITGA11/ITGB1;COL8A2 - ITGA2/ITGB1;COL8A2 - SLC4A11,TRUE,176
RSPO2,0.5449999256494509,0.030263907894987802,0.005749482098268963,0.03138156620414865,Cerebrovascular cells,RSPO2,130,5303,282,RSPO2,1,0.0985719167564893,0.0985719167564893,Astrocyte,Vascular,Astro_Reactive,Cerebrovascular_Venous,ZNRF3,RSPO2 - ZNRF3,FALSE,177
CNTN6,0.5490743356778518,0.03047625666984179,0.00596183087312295,0.03129993886191982,Cerebrovascular cells,CNTN6,130,5303,282,CNTN6,13,1.0305678069412103,0.22342238763075942,Astrocyte;Vascular,Vascular,Astro_Homeostatic;Astro_Reactive;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NOTCH1;PTPRG,CNTN6 - NOTCH1;CNTN6 - PTPRG,TRUE,178
MMRN2,0.5563577153563612,0.02996589916917348,0.005451473372454642,0.030896421831873577,Cerebrovascular cells,MMRN2,130,5303,282,MMRN2,26,1.38990989601324,0.46959901064342324,Vascular,Vascular,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,CD248;CD93;CLEC14A,MMRN2 - CD248;MMRN2 - CD93;MMRN2 - CLEC14A,TRUE,179
PRSS3,0.5559740665288687,0.03282222324112448,0.00830779744440564,0.030677193775298626,Cerebrovascular cells,PRSS3,130,5303,282,PRSS3,11,1.22443471477637,0.6230212869366842,Vascular,Vascular,CapEC_ActMid;Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,F2R;PARD3,PRSS3 - F2R;PRSS3 - PARD3,TRUE,180
F10,0.5590447441597632,0.03282266724906163,0.008308241452342793,0.03056011998084134,Cerebrovascular cells,F10,130,5303,282,F10,4,1.20130146111735,0.6099318496153342,Vascular,Vascular,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Cerebrovascular_Pericyte;Cerebrovascular_Venous,F3,F10 - F3,TRUE,181
NRXN1,0.5425582536543283,0.030249431448183168,0.005735005651464328,0.030436435399081058,Cerebrovascular cells,NRXN1,130,5303,282,NRXN1,4,0.093931249509567,0.05679152580193428,Astrocyte,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,Cerebrovascular_Venous,NLGN1;NLGN2,NRXN1 - NLGN1;NRXN1 - NLGN2,TRUE,182
COL4A4,0.5571488051866924,0.032394502419925295,0.007880076623206455,0.030359898940404428,Cerebrovascular cells,COL4A4,130,5303,282,COL4A4,23,2.18122921493071,0.49917786829975175,Vascular,Vascular,Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD44;CD47;CD93;ITGA1_ITGB1;ITGA10_ITGB1,COL4A4 - CD44;COL4A4 - CD47;COL4A4 - CD93;COL4A4 - ITGA1/ITGB1;COL4A4 - ITGA10/ITGB1,TRUE,183
LGI1,0.544931523145326,0.03087486440653619,0.006360438609817349,0.03032385628052387,Cerebrovascular cells,LGI1,130,5303,282,LGI1,3,0.14417058786752013,0.0892868492435904,Astrocyte,Vascular,Astro_Intermediate;Astro_Reactive,Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADAM22;ADAM23,LGI1 - ADAM22;LGI1 - ADAM23,TRUE,184
PAM,0.5559398652768047,0.029724945939796892,0.005210520143078053,0.03029241446045605,Cerebrovascular cells,PAM,130,5303,282,PAM,1,0.6885919560976501,0.6885919560976501,Vascular,Vascular,Cerebrovascular_Pericyte,Cerebrovascular_Venous,FAP,PAM - FAP,TRUE,185
SCUBE2,0.5380808636559647,0.030611584128909332,0.006097158332190492,0.03015912153014518,Cerebrovascular cells,SCUBE2,130,5303,282,SCUBE2,4,0.418979398980591,0.2075896429895285,Vascular,Vascular,Cerebrovascular_Pericyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,KDR,SCUBE2 - KDR,TRUE,186
CALCB,0.560259632113486,0.03276014571787971,0.008245719921160872,0.029973812724019566,Cerebrovascular cells,CALCB,130,5303,282,CALCB,20,1.19809254171035,0.33119535567789815,Astrocyte,Vascular,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CALCRL;PTH1R;RAMP2;RAMP3,CALCB - CALCRL;CALCB - PTH1R;CALCB - RAMP2;CALCB - RAMP3,TRUE,187
FAM3C,0.55283052536097,0.03265843468284744,0.008144008886128599,0.0298132368382765,Cerebrovascular cells,FAM3C,130,5303,282,FAM3C,13,0.307840640634905,0.12192187062035845,Astrocyte;Microglia;Vascular,Vascular,Astro_Intermediate;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CLEC2D;LAMP1,FAM3C - CLEC2D;FAM3C - LAMP1,TRUE,188
CSF3,0.569456794896576,0.03484080822712503,0.010326382430406188,0.029654114465070314,Cerebrovascular cells,CSF3,130,5303,282,CSF3,1,0.4770581186588201,0.4770581186588201,Vascular,Vascular,CapEC_ActHigh,Cerebrovascular_Pericyte,CSF1R,CSF3 - CSF1R,TRUE,189
AGT,0.570723728233877,0.03519810889824079,0.010683683101521953,0.029634434788381587,Cerebrovascular cells,AGT,130,5303,282,AGT,2,1.0120423352387895,0.6550734305157048,Astrocyte;Vascular,Vascular,Astro_Intermediate;Cerebrovascular_Pericyte,Cerebrovascular_Pericyte,ENPEP,AGT - ENPEP,FALSE,190
FBLN1,0.5591830361789748,0.030282596354942903,0.005768170558224064,0.029615156248100488,Cerebrovascular cells,FBLN1,130,5303,282,FBLN1,6,0.9883263413402998,0.3111125925365025,Astrocyte;Vascular,Vascular,Astro_Reactive;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ITGB1,FBLN1 - ITGB1,TRUE,191
