rank_metric,library,ID,Description_clean,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,core_enrichment
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM,Gobp Cellular Process Involved in Reproduction in Multicellular Organism,34,0.7584612293258759,1.0752658724182502,0.23176823176823177,0.8038698143961301,0.7841170832860584,PDE3A/BCL2/HSPA2/EDNRA/JAM3
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_PECTUS_EXCAVATUM,Hp Pectus Excavatum,45,0.7463118041219026,1.0616566089967328,0.23176823176823177,0.8038698143961301,0.7841170832860584,NOTCH3/FLNA/CHST11/FILIP1/CA2/RRAS/TPM2/THSD4/HS2ST1/GJA5/LTBP1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_ABNORMALITY_OF_LOWER_LIMB_JOINT,Hp Abnormality of Lower Limb Joint,108,0.7239453530526806,1.0405531150696674,0.23176823176823177,0.8038698143961301,0.7841170832860584,PDGFRB/PTH1R/ABCC9/BGN/DMD/TBX15/TTN/FLNA/CHST11/FILIP1/COL5A2/SATB2/TPM2/FLI1/SPARC/HS2ST1/STAT4/CHSY1/LTBP1/SHROOM4
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_TOR_SIGNALING,Gobp Tor Signaling,13,0.8026278493837445,1.1258308607999434,0.2321608040201005,0.804525695964485,0.7847568484982225,RNF152/SESN3
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_HEART_BLOCK,Hp Heart Block,26,0.76667910294370345,1.0845790517898577,0.23276723276723277,0.8053997000166658,0.7856093764771355,CACNA1C/ABCC9/TTN/CACNB2/KCNJ8/KCNK3/DTNA
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY,Gomf Endopeptidase Regulator Activity,33,0.759387297141956,1.0766871848070785,0.23376623376623376,0.8053997000166658,0.7856093764771355,COL4A3/TFPI/PCSK5/TIMP1/TIMP3/AGT/CRIM1/CD109
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_NEGATIVE_REGULATION_OF_TRANSPORT,Gobp Negative Regulation of Transport,70,0.7326414248601032,1.0487891576350818,0.23376623376623376,0.8053997000166658,0.7856093764771355,RHBDF2/ATP1A2/BCL2/GABRE/KCNB1/FRMD4A/PID1/RGS4/IL1RAPL1/AGT
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_ABNORMAL_LOWER_LIMB_BONE_MORPHOLOGY,Hp Abnormal Lower Limb Bone Morphology,113,0.7208459243979403,1.036946694822075,0.23376623376623376,0.8053997000166658,0.7856093764771355,PDGFRB/PTH1R/ABCC9/BGN/TBX15/FLNA/CHST11/FILIP1/KIF5C/CSF1R/KCNJ8/SATB2/COL4A1/TPM2/CAMK2G/FLI1/HS2ST1/SETBP1/STAT4/CHSY1/GJA5/TOMM7/GPX4/TENT5A/CSGALNACT1/AFF3/GPC6/BMPR1B
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY,Gobp Positive Regulation of Synapse Assembly,18,0.7843461502577411,1.1034854999989911,0.234,0.8053997000166658,0.7856093764771355,ADGRB3/GRID2/EFNA5/IL1RAPL1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_APOPTOTIC_CELL_CLEARANCE,Gobp Apoptotic Cell Clearance,10,0.8141535079669262,1.141835063593691,0.23404255319148937,0.8053997000166658,0.7856093764771355,AXL/XKR6
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_DENDRITE_SELF_AVOIDANCE,Gobp Dendrite Self Avoidance,10,0.8134895698641017,1.1409039028255528,0.23404255319148937,0.8053997000166658,0.7856093764771355,CNTN4/CNTN6/DSCAML1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOMF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY,Gomf Voltage Gated Calcium Channel Activity,10,0.8132926256358525,1.1406276922299012,0.23404255319148937,0.8053997000166658,0.7856093764771355,CACNA1C/CACHD1/CACNB2/CACNB4/CACNA1H/CACNA2D3
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_REGULATION_OF_DENDRITE_MORPHOGENESIS,Gobp Regulation of Dendrite Morphogenesis,11,0.8113853575250137,1.1399566953921438,0.23440643863179075,0.8057827589077589,0.7859830228251281,LZTS1/ADGRB3/IL1RAPL1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,Gobp Cellular Component Assembly Involved in Morphogenesis,26,0.7661723588814693,1.083862188642802,0.23476523476523475,0.8057827589077589,0.7859830228251281,PDGFRB/TTN/CNTN1/MYL9/TMOD1
distance_desc,msigdb_C5_GO_BP,MSigDB_C5_GO_BP::HP_HYPERTENSION,Hp Hypertension,68,0.7326617846632625,1.0479950449106272,0.23476523476523475,0.8057827589077589,0.7859830228251281,NOTCH3/PDGFRB/COL4A3/COL4A4/PDE3A/GUCY1A1/DST/POU6F2/TRPC6/ACTA2/THSD4/NR4A2/CACNA1H/STAT4/FMO3/MYH11/FLT1
