group,source,target,n_lr,mean_strength,median_strength,source_n,target_n,source_family
CN,Excitatory,Astro_Intermediate,753,0.517464199235412,0.0610369159132249,65392,5852,Neuron
CN,OPCs,Micro_Homeostatic,397,0.516449743954602,0.0,11259,2998,Oligo/OPC
CN,CapEC_ActHigh,Inhibitory,549,0.514101271735091,0.0997349359651802,124,18751,Vascular
CN,Cerebrovascular_Venous,Cerebrovascular_Venous,767,0.508883662615626,0.240723952749696,317,317,Vascular
CN,Cerebrovascular_Pericyte,Cerebrovascular_Venous,793,0.508468422145747,0.192428329006739,449,317,Vascular
CN,Oligodendrocytes,Micro_DAM,263,0.50486797952221,0.0,64998,8260,Oligo/OPC
CN,Micro_Homeostatic,Cerebrovascular_Venous,364,0.501667149648018,0.0718171430046214,2998,317,Microglia
CN,Cerebrovascular_SMC,Astro_Intermediate,418,0.498609414509192,0.202947556778021,285,5852,Vascular
CN,CapEC_ActLow,CapEC_ActLow,323,0.497518649436069,0.309883063997373,129,129,Vascular
CN,OPCs,Excitatory,647,0.496215171208294,0.0,11259,65392,Oligo/OPC
CN,Oligodendrocytes,Excitatory,400,0.492937707408533,0.118787272839937,64998,65392,Oligo/OPC
CN,CapEC_ActLow,Astro_Reactive,497,0.489011261445206,0.194511267225821,129,1200,Vascular
CN,Excitatory,Excitatory,746,0.486289271450495,0.0,65392,65392,Neuron
CN,Cerebrovascular_SMC,Cerebrovascular_Pericyte,535,0.48473141103307,0.26311590907531,285,449,Vascular
CN,Cerebrovascular_Pericyte,Oligodendrocytes,409,0.483077424704692,0.0154726832508358,449,64998,Vascular
CN,CapEC_ActMid,Cerebrovascular_Venous,552,0.482973271719141,0.177607797244159,112,317,Vascular
CN,Cerebrovascular_Venous,Micro_DAM,445,0.481565586826481,0.116389934709257,317,8260,Vascular
CN,Astro_Homeostatic,Micro_DAM,429,0.481252281795246,0.0,10219,8260,Astrocyte
CN,Astro_Intermediate,Micro_Homeostatic,441,0.478837664284954,0.0,5852,2998,Astrocyte
CN,OPCs,Cerebrovascular_Venous,664,0.477864606185853,0.0228861969783148,11259,317,Oligo/OPC
CN,CapEC_ActLow,Astro_Intermediate,477,0.473425283363769,0.302055361383591,129,5852,Vascular
CN,Cerebrovascular_SMC,Micro_Homeostatic,261,0.473235861841381,0.003923213094232,285,2998,Vascular
CN,Oligodendrocytes,Cerebrovascular_Venous,373,0.47209360898484,0.0290370805799433,64998,317,Oligo/OPC
CN,OPCs,Micro_DAM,393,0.469069098979939,0.0,11259,8260,Oligo/OPC
CN,OPCs,Inhibitory,607,0.467343496488051,0.0,11259,18751,Oligo/OPC
CN,Inhibitory,OPCs,604,0.467066679541928,0.0,18751,11259,Neuron
CN,Astro_Homeostatic,Cerebrovascular_Venous,693,0.466594456507585,0.0,10219,317,Astrocyte
CN,CapEC_ActLow,Micro_Homeostatic,325,0.466250901541492,0.124444224365821,129,2998,Vascular
CN,Excitatory,Cerebrovascular_Pericyte,905,0.464816696504571,0.0,65392,449,Neuron
CN,CapEC_ActHigh,Cerebrovascular_SMC,334,0.464096899728631,0.0,124,285,Vascular
CN,Oligodendrocytes,Oligodendrocytes,238,0.458194907669652,0.0,64998,64998,Oligo/OPC
CN,CapEC_ActMid,Excitatory,540,0.455846576603265,0.0334502759213656,112,65392,Vascular
CN,CapEC_ActMid,Oligodendrocytes,302,0.455827535389129,0.0042025873988562,112,64998,Vascular
CN,Inhibitory,CapEC_ActLow,490,0.453917972077905,0.0559436621342953,18751,129,Neuron
CN,Cerebrovascular_SMC,OPCs,352,0.45097548326161,0.0,285,11259,Vascular
CN,Cerebrovascular_SMC,Astro_Homeostatic,428,0.448569013404584,0.065573324287029,285,10219,Vascular
CN,CapEC_ActLow,Astro_Homeostatic,494,0.44372592114726,0.227594444920012,129,10219,Vascular
CN,CapEC_ActLow,Cerebrovascular_Pericyte,569,0.443219349122239,0.266383059205967,129,449,Vascular
CN,Astro_Homeostatic,Oligodendrocytes,376,0.437415236408482,0.0,10219,64998,Astrocyte
CN,Excitatory,Inhibitory,707,0.435753197646229,0.0,65392,18751,Neuron
CN,Oligodendrocytes,Inhibitory,392,0.431466839095255,0.0495950552383179,64998,18751,Oligo/OPC
CN,Astro_Intermediate,Micro_DAM,444,0.430124276574395,0.0,5852,8260,Astrocyte
