group,source,target,n_lr,mean_strength,median_strength,source_n,target_n,source_family
AD,CapEC_ActMid,Astro_Reactive,564,0.525627158347733,0.252080826621167,154,1387,Vascular
AD,Astro_Reactive,Cerebrovascular_Pericyte,852,0.523025453778628,0.232349094255542,1387,516,Astrocyte
AD,CapEC_ActMid,Cerebrovascular_Pericyte,657,0.522308150003269,0.369395084633632,154,516,Vascular
AD,Astro_Homeostatic,Astro_Reactive,696,0.522178514332038,0.0410575551839133,7441,1387,Astrocyte
AD,CapEC_ActMid,Micro_DAM,373,0.521575588743934,0.266311132038855,154,10413,Vascular
AD,Astro_Reactive,Astro_Homeostatic,676,0.520738557647322,0.165404762021812,1387,7441,Astrocyte
AD,Astro_Homeostatic,Astro_Homeostatic,674,0.517439268821873,0.0116907187221556,7441,7441,Astrocyte
AD,Excitatory,CapEC_ActLow,532,0.517329304732693,0.0368767149664532,62331,129,Neuron
AD,Inhibitory,Astro_Reactive,707,0.516845587362223,0.122980421908848,18727,1387,Neuron
AD,Astro_Homeostatic,Cerebrovascular_Pericyte,820,0.51117213777944,0.0343158416728017,7441,516,Astrocyte
AD,Inhibitory,Cerebrovascular_Pericyte,819,0.51024131236002,0.295953690955689,18727,516,Neuron
AD,Micro_Homeostatic,Micro_Homeostatic,276,0.503561509794877,0.212811140883953,2452,2452,Microglia
AD,CapEC_ActHigh,Excitatory,536,0.503333573647648,0.148777909816407,134,62331,Vascular
AD,Astro_Intermediate,Micro_DAM,432,0.500863863210957,0.0,5602,10413,Astrocyte
AD,Micro_Homeostatic,Micro_DAM,280,0.498324623743712,0.210718366842461,2452,10413,Microglia
AD,Astro_Homeostatic,OPCs,528,0.498183436734598,0.0,7441,9583,Astrocyte
AD,Astro_Reactive,OPCs,532,0.495707832798362,0.0438610774109573,1387,9583,Astrocyte
AD,Inhibitory,Micro_DAM,413,0.494648738211067,0.447054174040562,18727,10413,Neuron
AD,CapEC_ActMid,Micro_Homeostatic,372,0.494054744602663,0.203939664799045,154,2452,Vascular
AD,Oligodendrocytes,Excitatory,393,0.493594171163676,0.0382984747115036,80232,62331,Oligo/OPC
AD,Astro_Intermediate,Micro_Homeostatic,437,0.493405046156293,0.0,5602,2452,Astrocyte
AD,Excitatory,OPCs,608,0.490781485285411,0.0,62331,9583,Neuron
AD,CapEC_ActMid,Astro_Intermediate,535,0.487189176541094,0.294811370413038,154,5602,Vascular
AD,Cerebrovascular_SMC,Cerebrovascular_Pericyte,693,0.486524560955119,0.301728203531045,44,516,Vascular
AD,Micro_Homeostatic,CapEC_ActLow,249,0.486080788314556,0.174970283071512,2452,129,Microglia
AD,CapEC_ActMid,Astro_Homeostatic,545,0.484700507584006,0.295146039880297,154,7441,Vascular
AD,Astro_Intermediate,Cerebrovascular_Venous,669,0.480494146912936,0.0,5602,328,Astrocyte
AD,Cerebrovascular_Pericyte,Excitatory,727,0.476995132138528,0.0576481465395847,516,62331,Vascular
AD,CapEC_ActMid,OPCs,432,0.475934369370504,0.181200653884332,154,9583,Vascular
AD,Oligodendrocytes,Oligodendrocytes,236,0.474732787048585,0.0,80232,80232,Oligo/OPC
AD,Cerebrovascular_Pericyte,Inhibitory,692,0.473769874433634,0.0350307625922992,516,18727,Vascular
AD,Cerebrovascular_SMC,Astro_Reactive,576,0.47252318451733,0.227363922097626,44,1387,Vascular
AD,CapEC_ActHigh,Oligodendrocytes,297,0.472029598886659,0.126706783022779,134,80232,Vascular
AD,CapEC_ActHigh,Cerebrovascular_SMC,417,0.469257724052566,0.156880189334616,134,44,Vascular
AD,Cerebrovascular_Venous,Inhibitory,687,0.467819612742139,0.01739510190189,328,18727,Vascular
AD,CapEC_ActLow,CapEC_ActLow,326,0.466928798267702,0.243426294313217,129,129,Vascular
AD,Oligodendrocytes,Cerebrovascular_Venous,363,0.46561731823762,0.0,80232,328,Oligo/OPC
AD,Micro_DAM,Oligodendrocytes,210,0.459077207353608,0.0,10413,80232,Microglia
AD,OPCs,Oligodendrocytes,378,0.455495749632868,0.0,9583,80232,Oligo/OPC
AD,Cerebrovascular_Venous,Excitatory,719,0.451717696918516,0.0373525407695291,328,62331,Vascular
AD,Oligodendrocytes,Inhibitory,378,0.449569793242061,0.0033578079641033,80232,18727,Oligo/OPC
AD,OPCs,Micro_DAM,394,0.444049015790346,0.0,9583,10413,Oligo/OPC
AD,CapEC_ActHigh,Inhibitory,510,0.440340199492065,0.0721243242764407,134,18727,Vascular
AD,Excitatory,Astro_Homeostatic,757,0.438992242676659,0.0,62331,7441,Neuron
AD,OPCs,Cerebrovascular_Venous,640,0.437369338630502,0.0,9583,328,Oligo/OPC
AD,OPCs,Excitatory,637,0.428797257152726,0.0,9583,62331,Oligo/OPC
AD,CapEC_ActLow,Astro_Reactive,488,0.426630762503913,0.101033448271751,129,1387,Vascular
AD,Micro_DAM,Cerebrovascular_SMC,273,0.426628606217688,0.0,10413,44,Microglia
AD,Micro_Homeostatic,Cerebrovascular_Pericyte,426,0.426010724148063,0.061892103938809,2452,516,Microglia
