dataset,donor_id,Cooks_distance,hat
MTG_VLMC,H20.33.008,0.0038491759650157707,0.061475708025478346
MTG_VLMC,H20.33.011,0.0062518891918013735,0.062296114714543396
MTG_VLMC,H20.33.012,0.003201072646822901,0.04728216496401948
MTG_VLMC,H20.33.013,0.00031550717398101295,0.06593494999786977
MTG_VLMC,H20.33.014,0.0154683286620593,0.06402583887795281
MTG_VLMC,H20.33.015,0.003470301557134339,0.10104561271534233
MTG_VLMC,H20.33.016,0.0002441572281813529,0.10270242861754728
MTG_VLMC,H20.33.017,0.04055756081728627,0.1473017582593466
MTG_VLMC,H20.33.018,0.00028080308710238226,0.0788659209837613
MTG_VLMC,H20.33.019,0.0015051872522753229,0.11921568235713488
MTG_VLMC,H20.33.020,0.0061618254369874195,0.12991282265871892
MTG_VLMC,H20.33.024,0.0006773614341481644,0.07827099340815943
MTG_VLMC,H20.33.025,0.00027364585120306776,0.0679115419135453
MTG_VLMC,H20.33.026,0.02395172945510541,0.14696908262601246
MTG_VLMC,H20.33.027,0.0030919772639398887,0.07710047280404529
MTG_VLMC,H20.33.028,0.000921981549917757,0.044280052171964165
MTG_VLMC,H20.33.029,0.002719277558722179,0.06543013130870586
MTG_VLMC,H20.33.030,0.0001607735476450194,0.05553053220169375
MTG_VLMC,H20.33.031,0.004389257928591152,0.0586873283821843
MTG_VLMC,H20.33.032,3.179781243067762e-07,0.06729958677033811
MTG_VLMC,H20.33.033,0.00012137548205176058,0.14429617884623475
MTG_VLMC,H20.33.034,0.013853450653606903,0.26785566161579194
MTG_VLMC,H20.33.035,0.002526535865748895,0.0628727077336546
MTG_VLMC,H20.33.036,0.005572456146084568,0.11322292292004106
MTG_VLMC,H20.33.037,0.00021484629950940456,0.08329759513744633
MTG_VLMC,H20.33.038,0.0009793807566808059,0.06061990437193912
MTG_VLMC,H20.33.039,0.004861199238738476,0.10057973828132408
