"","D1_NC1","D1_NC10","D1_NC11","D1_NC12","D1_NC13","D1_NC14","D1_NC15","D1_NC16","D1_NC17","D1_NC18","D1_NC19","D1_NC2","D1_NC20","D1_NC21","D1_NC22","D1_NC23","D1_NC25","D1_NC26","D1_NC27","D1_NC3","D1_NC4","D1_NC6","D1_NC7","D1_NC8","D1_NC9","D1_UC1","D1_UC10","D1_UC11","D1_UC12","D1_UC13","D1_UC14","D1_UC15","D1_UC16","D1_UC17","D1_UC18","D1_UC19","D1_UC2","D1_UC20","D1_UC21","D1_UC22","D1_UC23","D1_UC24","D1_UC25","D1_UC26","D1_UC27","D1_UC28","D1_UC29","D1_UC3","D1_UC4","D1_UC5","D1_UC6","D1_UC7","D1_UC8","D1_UC9","D2_NC1","D2_NC2","D2_NC3","D2_NC4","D2_NC5","D2_NC6","D2_UC2","D2_UC3","D2_UC4","D2_UC5"
"76",0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,2,0,1,1,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",3,3,0,0,0,0,2,1,1,1,0,2,3,1,1,0,0,0,1,1,1,0,0,0,0,2,0,1,0,4,2,1,0,1,0,3,0,2,0,0,1,3,1,3,1,2,0,1,0,0,1,0,2,1,0,1,1,0,1,2,0,2,3,2
"78",1,2,1,0,2,0,1,2,3,2,0,6,2,1,2,0,0,2,2,1,1,1,2,1,1,2,1,1,0,6,0,1,0,2,1,3,1,2,2,0,0,3,2,3,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,2,0,0,1,2,1,1,0,1,1,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,1,1,0,1,5,0,2,1,3,0,0,2,0,0,1,2,0,1,0,0,1,0,0
"80",0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
"82",1,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,0,1,0,3,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,8,0,0,0,0,0
"84",0,1,1,1,0,0,0,2,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53,2,0,1,1,0,0
"85",2,5,3,0,0,0,2,2,3,1,0,1,3,3,1,4,0,1,2,0,2,0,0,1,2,3,1,1,0,0,0,2,0,2,2,2,0,0,0,1,0,3,2,3,4,7,0,0,2,3,1,0,2,0,0,1,1,2,1,0,0,0,1,1
"86",0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,50,2,0,1,1,0,0
"87",0,3,0,1,0,0,1,1,0,2,0,0,3,0,0,1,0,2,1,0,0,0,0,1,0,1,0,1,0,2,1,0,0,2,1,0,1,3,1,0,1,1,2,1,0,1,1,1,0,0,1,0,1,1,0,0,2,1,2,1,0,0,2,2
"88",1,1,0,0,1,1,0,1,1,0,0,1,1,1,3,0,0,1,0,0,0,0,1,0,0,1,1,1,0,2,1,1,0,2,1,2,0,2,3,1,1,2,1,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"89",0,2,1,0,0,0,1,1,2,0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,2,0,2,3
"90",0,1,1,0,1,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"91",2,2,1,0,0,0,0,2,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1
"92",4,1,1,0,0,0,0,1,2,1,1,3,4,1,0,0,0,0,1,4,1,0,0,2,1,3,0,1,0,0,0,2,0,0,1,1,1,1,0,1,1,3,0,3,1,1,0,1,0,1,1,0,1,0,0,3,2,0,1,1,0,2,3,2
"93",1,3,2,0,0,0,1,3,2,1,0,4,1,0,0,0,0,0,0,1,2,0,0,0,1,3,0,1,0,3,1,2,0,1,1,1,0,2,0,0,0,5,2,5,2,1,0,0,0,0,1,0,1,1,0,2,1,0,5,3,0,1,3,0
"94",2,1,1,0,0,0,1,1,0,1,0,3,0,1,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,2,1,0,2,4,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,2,1,1,3,2
"95",1,0,0,0,0,0,0,1,0,0,3,1,1,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,1,2,0,1,0,2,1,1,0,0,2,0,1,3,1,0,4,1,0,0,2,0
"96",0,1,1,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,40,2,0,1,0,0,0
"97",0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,2,1,0,0,0,2,0,0,0,3,0,0,1,0,2,2,2,1,0,0,0,0,0,0,2,0,0,1,1,0,0,2,2,0,0,0,3,1,3
"98",0,0,1,0,0,0,0,1,1,1,0,1,2,0,2,0,0,1,0,0,1,1,1,2,1,0,1,0,0,2,0,1,0,2,0,2,0,1,2,1,2,1,2,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"99",1,1,0,0,0,0,0,0,0,0,3,2,0,1,1,1,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,3,1,1,0,0,1,1,1,0,1,0,2,0,1,0,1,1,0,0,1,0
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
"101",1,3,1,0,0,0,0,0,1,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,2,2,0,1,0,1,1,0,0,1,1,2,0,0,1,0,1,0,0,2
"102",0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,10,0,0,1,1,0,0
