"Nhood","UMAP1","UMAP2","Size","logFC","PValue","SpatialFDR","SigCat","Direction","Subtype","SubtypePurity"
174,-10.426554782497,2.62745968940178,42,0.355453642417298,0.390906029895205,0.861410911511745,"NS","NS","Capillary",0.976190476190476
175,13.0497278108474,-5.01792798192857,49,-0.301362028313229,0.474172176944165,0.862601273379847,"NS","NS","Venous",0.959183673469388
176,1.31413164081279,-7.1356296971242,62,-0.360421351331251,0.382741319326841,0.861410911511745,"NS","NS","Pericyte",1
177,-12.5483031583023,-1.33417308617085,39,0.402062111589641,0.34304222896126,0.831348721464687,"NS","NS","Pericyte",1
178,13.5179236287558,-5.29402165952717,49,0.180143702734258,0.675960131899656,0.9233569293266,"NS","NS","Venous",1
179,14.1713846156397,-7.95024941674787,59,0.0799383958881193,0.901753138404578,0.974086277848796,"NS","NS","Venous",1
180,-4.85252949183716,3.82447312728398,37,-0.175681450609626,0.672110682501222,0.9233569293266,"NS","NS","Venous",0.972972972972973
181,13.8829399506456,-6.92540046045627,34,0.0300714617604908,0.995914492632432,0.996292457218056,"NS","NS","Venous",1
182,-7.78251296395022,5.52699487761768,29,0.379070937588401,0.418940270583467,0.861410911511745,"NS","NS","Capillary",1
183,-5.23360323532363,3.27533228977943,38,0.34508162753486,0.410497756924054,0.861410911511745,"NS","NS","Venous",0.894736842105263
184,1.49881327489637,-5.32794421127962,52,-0.190071753126945,0.650457087731594,0.9233569293266,"NS","NS","Pericyte",1
185,-10.3659652380096,3.45084437807649,29,0.391310609057097,0.392720953561114,0.861410911511745,"NS","NS","Capillary",1
186,0.959531247809762,-6.74470575868061,31,0.0378348846626404,0.929218979803967,0.982783038795893,"NS","NS","Pericyte",1
187,1.12598474189483,-8.02008928407713,61,-0.108286236032229,0.789671487316032,0.955171499627775,"NS","NS","Pericyte",1
188,-7.74899403298887,4.64883249543427,40,0.320939399216867,0.447763097567986,0.861410911511745,"NS","NS","Capillary",1
189,-7.45710516550468,6.09832182071923,45,0.59630910735548,0.143059905547104,0.614853211074786,"NS","NS","Capillary",1
190,1.30370735332377,-4.37033593711933,48,-0.855374837403866,0.0365936543660237,0.223997520664751,"NS","NS","Pericyte",1
191,-12.3116270364962,-1.26773093073676,35,0.437856855987196,0.327325897224775,0.831348721464687,"NS","NS","Pericyte",1
192,14.1168153224744,-7.55114023373775,56,-0.0675388724685438,0.866946891052054,0.972907066625083,"NS","NS","Venous",1
