"sample_id","group","RHBDF2","SLC38A11","PDGFRB","PTH1R","DGKB","GPC5","RNF152","GRM8","SLC6A12","INPP4B","CPM","CNTN4","GJC1","PDE7B","PLCE1","GRM3","COL4A3","CACNA1C"
"GSM3895981","CN",8.46118565375,7.145579797,10.27702343,8.3656301835,6.372466143,9.631119147,6.339213074,6.3488704175,9.145323146,6.573861629,6.3450119305,6.1737672895,9.85531067,9.062349959,7.779529,9.658640664,6.6561109735,6.28515831416667
"GSM3895982","CN",7.161215162,7.007906698,8.874188368,7.25712116,7.568494787,9.360751486,6.208142698,7.09050229,8.26890223,7.320102721,6.26648466225,6.6049019145,9.8287915415,8.722856975,7.264698762,10.138421055,6.3633169405,6.69349214216667
"GSM3895983","CN",7.45118876475,7.405713608,10.08410047,8.213559472,6.94846570633333,9.723042742,6.214291307,6.797008558,8.559654765,6.967502291,6.4026044515,6.1718095095,9.8951356365,8.369565638,6.978054007,10.2815576715,6.2662156485,6.50613223183333
"GSM3895984","CN",7.22958096825,7.052755822,9.353823584,7.429689428,7.22249066533333,9.499076078,6.22907145,7.324338454,8.507323601,6.952650011,6.33835139775,6.3247682975,9.90950391,8.560404602,7.099785003,10.2252676025,6.304364752,6.63071588733333
"GSM3895985","CN",7.00830019125,7.20276015,8.679348065,6.947771977,7.53439065,9.063609325,6.147394582,7.3470240485,7.568259815,7.506117875,6.2700299305,6.570147528,9.850151438,8.503793592,7.06330112,9.884157122,6.2578353415,6.8047499615
"GSM3895986","CN",7.798161215,7.235073893,9.242610051,7.5113469635,7.27099658466667,9.0504165,6.282941411,7.079436799,8.165983789,6.724913288,6.349743852,6.209984,9.94423413,8.233342034,7.771155231,9.4935653945,6.2599437325,6.6341935105
"GSM3895987","CN",7.65145553275,7.35301039,10.53620576,8.082666367,6.70995619433333,9.374890562,6.173077238,6.7724223825,10.27461077,7.083427564,6.422984386,6.3027847505,9.959980956,8.305533615,7.649266347,9.9614054365,6.2668471115,6.51505804866667
"GSM3895988","CN",7.5529924145,7.806580812,9.792207797,7.8466730325,6.98052745566667,9.746130625,6.288753896,6.972019484,9.075158287,6.822815525,6.31127085225,6.2649257055,9.938756014,8.631518963,7.463523774,10.1642914425,6.3794926365,6.57746234683333
"GSM3895989","CN",7.314311298,7.442456908,9.589720762,7.741842745,7.155291199,9.422701903,6.331518584,6.7200554205,8.330381761,7.142496069,6.3248241265,6.31875194,9.898515222,8.591913188,7.207806271,9.6524582435,6.419999661,6.69961406233333
"GSM3895990","CN",7.11308426775,7.136777067,8.97160453,7.2166345295,7.326746817,9.397813919,6.265157474,7.2746081615,7.97079424,7.179220706,6.295407331,6.4775102175,9.7153807565,8.16374822,7.299928945,10.069827876,6.3152929335,6.72498609916667
"GSM3895991","CN",7.01231135525,7.217893315,9.167372589,7.3558005875,7.36855128533333,9.23755506,6.221061473,7.2815620455,8.42973736,7.375469594,6.31109045925,6.3586683195,9.770556705,8.628401054,7.330387462,10.045413176,6.319918115,6.70391713166667
"GSM3895992","CN",7.7357137065,7.318256293,9.422980769,7.5982471915,7.13665769833333,9.404707556,6.318858701,6.915135218,8.4984613,6.939339758,6.306396324,6.263597189,9.823190711,8.838357021,7.223101789,9.682296563,6.3415084855,6.576049052
"GSM3895993","CN",7.052127204,7.123056214,8.808687498,7.1783477365,7.51325799933333,9.091199444,6.13914654,7.3814206505,8.153851692,7.287108289,6.326943758,6.501164698,9.9526073325,8.346219518,7.108279098,10.1741688925,6.217171186,6.65887936766667
"GSM3895994","CN",7.15466677775,7.814279994,8.817680147,7.284960961,7.64739375066667,9.026705262,6.213055515,7.391482244,7.27765664,7.509492939,6.3197404685,6.5401867655,9.9686316765,8.757602223,7.133684901,9.6856382835,6.1329724165,6.75693999983333
"GSM3895995","CN",7.9615384395,7.456226406,10.23000892,8.190757437,6.779964049,9.790107241,6.246847504,6.664917603,9.394546291,6.557919637,6.42264706325,6.1960601125,9.942021401,8.82531155,7.720207699,10.108837074,6.3256511515,6.47201524133333
"GSM3895996","CN",7.406370834,7.413620673,9.485241021,7.4931998195,7.366747101,9.17047432,6.224603682,7.17585552,8.382563317,7.215464588,6.2641678985,6.353332333,9.884764743,8.351315692,7.311931461,10.2993428455,6.3284921005,6.61883522416667
"GSM3895997","CN",7.061510346,7.38867732,9.009921328,7.3086178305,7.59808799766667,9.008076261,6.306939635,7.3386155725,8.130990791,7.406538603,6.26134875575,6.4622057315,9.9882479305,8.553503733,7.161642036,10.040305726,6.236553167,6.70355087066667
"GSM3895998","CN",6.987967259,7.296485213,8.705868533,7.017453501,7.406546137,8.56800463,6.355750893,7.506900569,7.488003362,7.40095034,6.27953111725,6.46651719,9.9414686295,8.251779081,7.366127085,9.8387707695,6.329007224,6.70414772816667
"GSM3895999","CN",7.11947855525,7.333887954,8.765303352,6.8406421205,7.57328023133333,8.797851457,6.258920022,7.36035006,7.597791224,7.572410317,6.28804326275,6.4838856965,9.918271047,8.50093416,7.098619059,9.8481270025,6.3927960005,6.74234007383333
"GSM3896000","CN",8.04873268125,7.382889085,10.62840544,8.672102811,6.43759373233333,10.4012395,6.187429689,6.6315419565,9.770918829,6.283655479,6.40923472275,6.1001699055,9.9350808535,9.717111621,7.77035836,10.255363201,6.64301096,6.40044634483333
"GSM3896001","CN",7.5033438185,7.647617265,10.44962831,8.108268009,6.97796540233333,8.164510913,6.242459013,6.987016486,9.784663355,6.918775817,6.31971377425,6.261532663,10.0557523135,8.421835012,7.438903223,10.5703527895,6.414939659,6.53361345683333
"GSM3896002","CN",7.64661408175,7.025275588,10.10350483,8.199257378,7.21132729,9.221525766,6.302418118,6.571904072,9.128606573,6.872434382,6.3706198745,6.21032602,10.0399069835,8.693323961,7.534558519,9.9483367315,6.3743787945,6.51884810283333
