ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,source_cellstates,target_cellstates,lr_pair_examples,aupr,AUPR_rank,input_top20,displayed_Fig8A
NRG3,NRG3,9,1.2532681910175698,0.5632663211579534,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NRG3 - EGFR;NRG3 - ERBB2/ERBB4,0.0352448124091431,31,False,False
TIMP3,TIMP3,7,1.198318566254309,0.6308838446693151,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Venous,TIMP3 - KDR,0.0331789911283157,85,False,False
CALCB,CALCB,20,1.19809254171035,0.3311953556778981,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CALCB - CALCRL;CALCB - PTH1R;CALCB - RAMP2;CALCB - RAMP3,0.0327601457178797,93,False,False
MFGE8,MFGE8,9,1.17171888891271,0.2712976073417524,Astrocyte,Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,MFGE8 - ITGAV;MFGE8 - ITGB5;MFGE8 - PDGFRB,0.0341184514069392,54,False,False
SEMA3A,SEMA3A,20,1.15959610009948,0.3828515643876939,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SEMA3A - NRP1/PLXNA1;SEMA3A - NRP1/PLXNA2;SEMA3A - NRP1/PLXNA3;SEMA3A - NRP2,0.0323998049898804,110,False,False
SERPINE2,SERPINE2,2,1.15411757260823,0.9225372492291448,Astrocyte,Astro_Intermediate,Cerebrovascular_Pericyte;Cerebrovascular_Venous,SERPINE2 - LRP1,0.0341204113228234,53,False,False
SEMA3D,SEMA3D,48,1.11706610982027,0.4619887497784991,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,SEMA3D - NRP1/PLXNA1;SEMA3D - NRP1/PLXNA2;SEMA3D - NRP1/PLXNA3;SEMA3D - NRP2/PLXNA1;SEMA3D - NRP2/PLXNA2,0.0327050990316445,96,False,False
ANOS1,ANOS1,20,1.113820472040857,0.3398128005611663,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ANOS1 - FGFR1;ANOS1 - SDC2,0.0325830286259061,103,False,False
VEGFA,VEGFA,32,1.09026090801952,0.5159945373076534,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,VEGFA - EGFR;VEGFA - FLT1/KDR;VEGFA - ITGAV;VEGFA - ITGB1;VEGFA - NRP1,0.0438115516075351,5,True,True
ADAM17,ADAM17,50,1.079612716113008,0.2339071802420274,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADAM17 - IL6R;ADAM17 - ITGA5;ADAM17 - ITGB1;ADAM17 - NOTCH1;ADAM17 - RHBDF2,0.0355457106106504,25,False,False
