sample,group,source,target,LR_Pair,panel,n_spots,ligand_detected_fraction,receptor_detected_fraction,all_subunits_available,missing_subunits,mean_spatial_score
2-3,AD,CapEC_ActHigh,CapEC_ActHigh,EDN1:ADGRL4,6D,4333,0.08239095315024232,0.08769905377336719,True,,0.06592449553460965
2-3,AD,CapEC_ActHigh,CapEC_ActMid,EDN1:ADGRL4,6D,4333,0.08239095315024232,0.08769905377336719,True,,0.06592449553460965
2-3,AD,CapEC_ActHigh,Astro_Reactive,COL4A2:CD44,6D,4333,0.07662127855988922,0.11954765751211632,True,,0.060374124882508706
2-3,AD,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:TIE1,6D,4333,0.16085852757904454,0.07754442649434572,True,,0.08569214208045972
2-3,AD,CapEC_ActHigh,CapEC_ActMid,ANGPT2:TEK,6D,4333,0.16085852757904454,0.08677590583891069,True,,0.07840563222801143
2-3,AD,CapEC_ActHigh,CapEC_ActMid,ANGPT2:ITGA5/ITGB1,6D,4333,0.16085852757904454,0.02607892914839603,True,,0.00015117176124505448
2-3,AD,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:TEK,6D,4333,0.16085852757904454,0.08677590583891069,True,,0.07840563222801143
2-3,AD,CapEC_ActHigh,CapEC_ActLow,EDN1:ADGRL4,6D,4333,0.08239095315024232,0.08769905377336719,True,,0.06592449553460965
2-8,AD,Astro_Intermediate,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,3442,0.015398024404416037,0.00958744915746659,True,,0.0
2-8,AD,Cerebrovascular_Pericyte,Astro_Reactive,COL1A1:CD44,6C,3442,0.003486345148169669,0.11446833236490413,True,,7.879156516844185e-06
2-8,AD,CapEC_ActLow,Astro_Reactive,HBEGF:CD44,6C,3442,0.06159209761766415,0.11446833236490413,True,,0.06090220435119183
2-8,AD,Inhibitory,CapEC_ActHigh,SLIT2:ROBO4,6C,3442,0.19320162696106916,0.06362579895409645,True,,0.08885554260929403
2-8,AD,CapEC_ActHigh,Excitatory,CXCL10:DPP4,6C,3442,0.0017431725740848344,0.01568855316676351,True,,0.0
2-8,AD,Micro_DAM,CapEC_ActMid,TGFB1:ACVR1C/TGFBR2,6C,3442,0.10342823939570017,0.00958744915746659,True,,3.9410474395578976e-05
2-8,AD,Astro_Reactive,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,3442,0.015398024404416037,0.00958744915746659,True,,0.0
2-8,AD,CapEC_ActHigh,OPCs,VWF:TNFRSF11B,6C,3442,0.23619988378849507,0.011911679256246368,True,,5.9374508646495255e-05
2-8,AD,Oligodendrocytes,CapEC_ActMid,COL4A5:CD93,6C,3442,0.14584543869843114,0.023242300987797792,True,,0.0005265173206622865
2-8,AD,Astro_Homeostatic,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,3442,0.015398024404416037,0.00958744915746659,True,,0.0
2-8,AD,CapEC_ActHigh,Cerebrovascular_Pericyte,ADM:PTH1R,6D,3442,0.013945380592678676,0.15514235909355026,True,,4.477259476793385e-05
2-8,AD,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:ITGA5/ITGB1,6D,3442,0.013654851830331202,0.0168506682161534,True,,2.4094441036882267e-05
2-8,AD,CapEC_ActHigh,CapEC_ActHigh,EDN1:ADGRL4,6D,3442,0.09122603137710633,0.03631609529343405,True,,0.07116833590423652
2-8,AD,CapEC_ActHigh,CapEC_ActMid,EDN1:ADGRL4,6D,3442,0.09122603137710633,0.03631609529343405,True,,0.07116833590423652
2-8,AD,CapEC_ActHigh,Astro_Reactive,COL4A2:CD44,6D,3442,0.07495642068564788,0.11446833236490413,True,,0.07561350526790418
2-8,AD,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:TIE1,6D,3442,0.013654851830331202,0.0557815223707147,True,,2.4160079185685406e-05
2-8,AD,CapEC_ActHigh,CapEC_ActMid,ANGPT2:TEK,6D,3442,0.013654851830331202,0.08890180127832656,True,,8.646221683668424e-05
2-8,AD,CapEC_ActHigh,CapEC_ActMid,ANGPT2:ITGA5/ITGB1,6D,3442,0.013654851830331202,0.0168506682161534,True,,2.4094441036882267e-05
2-8,AD,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:TEK,6D,3442,0.013654851830331202,0.08890180127832656,True,,8.646221683668424e-05
2-8,AD,CapEC_ActHigh,CapEC_ActLow,EDN1:ADGRL4,6D,3442,0.09122603137710633,0.03631609529343405,True,,0.07116833590423652
T4857,AD,Astro_Intermediate,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,4733,0.0266215930699345,0.017536446228607647,True,,3.7586474453270237e-06
T4857,AD,Cerebrovascular_Pericyte,Astro_Reactive,COL1A1:CD44,6C,4733,0.009718994295372914,0.3279104162264948,True,,6.046731433946345e-05
T4857,AD,CapEC_ActLow,Astro_Reactive,HBEGF:CD44,6C,4733,0.05049651383900275,0.3279104162264948,True,,0.09701569577640606
T4857,AD,Inhibitory,CapEC_ActHigh,SLIT2:ROBO4,6C,4733,0.14346080709909148,0.03338263257975914,True,,9.382870780973478e-05
T4857,AD,CapEC_ActHigh,Excitatory,CXCL10:DPP4,6C,4733,0.037396999788717515,0.0035918022395943377,True,,3.9480356187857497e-05
T4857,AD,Micro_DAM,CapEC_ActMid,TGFB1:ACVR1C/TGFBR2,6C,4733,0.11874075639129517,0.017536446228607647,True,,9.385521650529778e-05
T4857,AD,Astro_Reactive,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,4733,0.0266215930699345,0.017536446228607647,True,,7.936966689867057e-06
T4857,AD,CapEC_ActHigh,OPCs,VWF:TNFRSF11B,6C,4733,0.2845975068666807,0.02957954785548278,True,,0.07593511471286309
T4857,AD,Oligodendrocytes,CapEC_ActMid,COL4A5:CD93,6C,4733,0.04098880202831185,0.07056834988379464,True,,8.527016555482152e-05
T4857,AD,Astro_Homeostatic,CapEC_ActMid,TGFB2:ACVR1C/TGFBR2,6C,4733,0.0266215930699345,0.017536446228607647,True,,2.2249331792826297e-05
T4857,AD,CapEC_ActHigh,Cerebrovascular_Pericyte,ADM:PTH1R,6D,4733,0.06317346291992394,0.2106486372279738,True,,0.09058516130364845
T4857,AD,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:ITGA5/ITGB1,6D,4733,0.053243186139869,0.01711388125924361,True,,6.972614983452149e-05
T4857,AD,CapEC_ActHigh,CapEC_ActHigh,EDN1:ADGRL4,6D,4733,0.03021339530952884,0.04056623705894781,True,,0.00010181494876173432
T4857,AD,CapEC_ActHigh,CapEC_ActMid,EDN1:ADGRL4,6D,4733,0.03021339530952884,0.04056623705894781,True,,0.00010181494876173432
T4857,AD,CapEC_ActHigh,Astro_Reactive,COL4A2:CD44,6D,4733,0.11641664905979295,0.3279104162264948,True,,0.117729618417028
T4857,AD,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:TIE1,6D,4733,0.053243186139869,0.04711599408409043,True,,0.00022116696667524673
T4857,AD,CapEC_ActHigh,CapEC_ActMid,ANGPT2:TEK,6D,4733,0.053243186139869,0.11514895415170083,True,,0.07840995098847031
T4857,AD,CapEC_ActHigh,CapEC_ActMid,ANGPT2:ITGA5/ITGB1,6D,4733,0.053243186139869,0.01711388125924361,True,,6.972614983452149e-05
T4857,AD,CapEC_ActHigh,CapEC_ActHigh,ANGPT2:TEK,6D,4733,0.053243186139869,0.11514895415170083,True,,0.07840995098847031
T4857,AD,CapEC_ActHigh,CapEC_ActLow,EDN1:ADGRL4,6D,4733,0.03021339530952884,0.04056623705894781,True,,0.00010181494876173432
