sample,group,LR_Pair,source,target,ligand,receptor,communication_strength,nvu_priority_score,n_source_target_edges,holonet_db_exact,support_status,support_reason,ligand_in_var,receptor_in_var,ligand_detected_frac,receptor_detected_frac,spatial_score_mean,spatial_score_max,official_ce_mean,official_ce_hotspot_mean,official_ce_hotspot_max,top_ce_contributor
18-64,CN,VWF:ITGB1,CapEC_ActHigh,CapEC_ActHigh,VWF,ITGB1,4.61033774738797,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.6088579248569296,0.2239363025628265,0.179147376818186,1.0,,,,
18-64,CN,VWF:ITGB1,CapEC_ActMid,CapEC_ActHigh,VWF,ITGB1,4.5039011398043,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.6088579248569296,0.2239363025628265,0.179147376818186,1.0,,,,
18-64,CN,VWF:LRP1,CapEC_ActHigh,OPCs,VWF,LRP1,4.4793671420588,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.6088579248569296,0.6710624533466036,0.322065446586548,1.0,,,,
18-64,CN,SPARC:ENG,CapEC_ActHigh,CapEC_ActHigh,SPARC,ENG,4.46727274052437,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.488927593928838,0.1841254043294352,0.1469748940685726,1.0,,,,
18-64,CN,VEGFC:FLT1,CapEC_ActLow,CapEC_ActHigh,VEGFC,FLT1,4.39084021559002,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0047275441652152,0.2500622045284896,5.610608517172697e-05,0.0819029181237168,,,,
18-64,CN,VWF:ITGB1,CapEC_ActHigh,CapEC_ActMid,VWF,ITGB1,4.36046463986151,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.6088579248569296,0.2239363025628265,0.179147376818186,1.0,,,,
18-64,CN,EDN1:ADGRL4,CapEC_ActMid,CapEC_ActHigh,EDN1,ADGRL4,4.35835110876904,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0395620801194326,0.0689226175665588,0.0545904342657951,1.0,,,,
18-64,CN,VEGFC:FLT1,CapEC_ActLow,CapEC_ActMid,VEGFC,FLT1,4.35226555679961,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0047275441652152,0.2500622045284896,5.610608517172697e-05,0.0819029181237168,,,,
18-64,CN,VWF:LRP1,CapEC_ActMid,OPCs,VWF,LRP1,4.34668604700358,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.6088579248569296,0.6710624533466036,0.322065446586548,1.0,,,,
18-64,CN,VEGFC:FLT1,CapEC_ActMid,CapEC_ActHigh,VEGFC,FLT1,4.33360333036573,4,,False,spatial_LR_support,not_in_HoloNet_human_LR_database_exact_pair,True,True,0.0047275441652152,0.2500622045284896,5.610608517172697e-05,0.0819029181237168,,,,
